"","TB_USCH","TB_USJP","M3_USCH","M3_USJP","M3_USUK","UN_USCH","UN_USJP","UN_USUK","M1_USCH","M1_USJP","M1_USUK","CPI_USCH","CPI_USJP","CPI_USUK","T_USCH","T_USJP","T_USUK","EX_UKUS","EX_JPUS","EX_CHUS"
"1995-10-01",-0.421562909281411,5.27629111752397,2.53022356061265,-0.709552165321341,1.59689627402317,1.3850791681387,2.2935538281387,-1.9064461718613,-18.5627742522244,-21.1834717147258,-19.6585705694521,-25.455540796611,-32.8523308454668,-2.2523308454668,77.4269375578566,82.8164772885397,66.7368822187531,-0.456094849059486,4.61352518557083,0.135666611421533
"1995-11-01",-0.0959762175395644,5.3563311752011,2.52582098535539,-0.695615599422251,1.60185481696188,1.42662588794164,2.14683531794164,-1.75316468205836,-18.6023748504852,-21.1808517176193,-19.6527068580263,-25.4304473951275,-32.5945219119304,-2.29452191193039,78.3670030353242,83.6430069950144,67.6935743833778,-0.446287102628419,4.6243844049119,0.134268620805034
"1995-12-01",-0.207777491187344,5.13632791520822,2.54081334053295,-0.714760347737094,1.59457735360535,1.41814923439022,2.12513288439022,-1.77486711560978,-18.5672612265903,-21.2596518963677,-19.6238305707037,-25.4977831741327,-32.636712978394,-2.736712978394,78.9974906103168,84.4800039452044,68.3559233051905,-0.432107039054586,4.6234962334806,0.151088854362856
"1996-01-01",-0.0854628532746657,4.99646340379418,2.54240352314193,-0.655114037295174,1.58256744867282,1.47065005132334,2.11311412132334,-1.78688587867666,-18.5808378764042,-21.2206770026553,-19.6413054585852,-25.3757720329571,-32.1569933802217,-2.2569933802217,79.9809115012645,85.1054913320853,69.3003400333749,-0.424483113943926,4.66109105660944,0.167038699929437
"1996-02-01",-0.0751558452410794,4.82646462736794,2.55335807028778,-0.653112937039932,1.56715649978387,1.24312556611904,2.04064640611904,-1.95935359388096,-18.6000109845242,-21.2166692853801,-19.6703407247212,-25.309821189169,-31.7460380479037,-2.3460380479037,80.6421017663265,85.7660230501561,69.8666275703775,-0.42918163472548,4.66143709144139,0.179567768597334
"1996-03-01",0.110096161886445,4.95646969983009,2.5515596133503,-0.656797226201668,1.56741765078648,1.22504890029706,2.19615365029706,-1.90384634970294,-18.6075298517734,-21.2480061132572,-19.6884327800267,-25.1323044645428,-31.6085095161951,-2.20850951619511,81.2367267295921,86.5707642884696,70.4092840407066,-0.423370511976999,4.66287289611638,0.178899039992625
"1996-04-01",0.196305418719212,4.94651117775736,2.5667808608461,-0.64265151265063,1.57336036465679,1.16556983764389,2.11578072764389,-1.78421927235611,-18.5784635960405,-21.242209221705,-19.6667490383974,-24.9672142527644,-31.9553631174135,-2.3553631174135,82.1220577140898,87.238498523092,71.191800458421,-0.41607528722018,4.67469158444672,0.197210169287705
"1996-05-01",0.370506419969694,5.01648305519064,2.59628926150024,-0.644779921385176,1.56508239423082,1.12177296784492,2.04943333784492,-1.75056666215508,-18.5572323970336,-21.2727417370737,-19.6905800242886,-24.5085917071238,-32.0287899180228,-2.5287899180228,83.0845750275135,87.9027899464565,72.0601869349624,-0.415547443449677,4.66666313658031,0.226258694214355
"1996-06-01",0.69378408458542,5.08656754772394,2.61107430561393,-0.633175157660375,1.54093488873612,0.73648888525447,1.83662870525447,-1.96337129474553,-18.5480895867386,-21.2350542876706,-19.7369688881653,-24.6431093319598,-31.6865988515592,-2.5865988515592,83.9785146680448,88.7129623321464,72.7529937947881,-0.43282083811802,4.6909808424012,0.22944366386269
"1996-07-01",0.677597402597403,5.14657480614227,2.59561929754653,-0.617961626176307,1.52765696574631,0.85236677905773,2.01913247905773,-1.68086752094227,-18.563526460666,-21.2491108948576,-19.7382419170314,-24.3897193214901,-31.4600256521684,-2.06002565216839,85.3971147051372,89.759856705132,74.0634924764148,-0.44018854416655,4.69309772650506,0.208638865111328
"1996-08-01",0.469403109152881,5.04653273184574,2.57850328318911,-0.627690364610473,1.52984759338664,0.46578314888366,1.80400668888366,-1.89599331111634,-18.5939695649681,-21.2614266271166,-19.7350153210327,-24.4974988184349,-31.2334524527776,-2.33345245277761,86.5560707779496,90.5947067136202,75.2158070502482,-0.438190412720868,4.68088878895079,0.18473530801789
"1996-09-01",0.593524264765454,5.08659786593409,2.59930774576303,-0.603083836331695,1.51839965720751,0.41905864793635,1.85938847793635,-1.74061152206365,-18.6063594836355,-21.2494299033119,-19.8019428388492,-24.3394169528051,-31.4224971204597,-2.4224971204597,87.8113206716004,91.6464446235059,76.4760224023476,-0.444237002608703,4.6998528962473,0.210504007767746
"1996-10-01",0.334033052598125,4.98667296194456,2.62056860068123,-0.568834942060121,1.51240318181155,0.26777542326432,1.76756005326432,-1.63243994673568,-18.613623294273,-21.2284706637628,-19.7948978854516,-24.2733667228016,-31.4115417881418,-2.3115417881418,89.093349957675,92.585316152065,77.804427674513,-0.461404260432273,4.72217336207748,0.229999992110696
"1996-11-01",0.222910915934755,5.02666951034678,2.62758464178292,-0.569235795781672,1.44496004057058,0.32957182423761,2.00644698423761,-1.09355301576239,-18.6304102063789,-21.2325817989702,-19.8544262908906,-23.9793277501599,-30.984968588751,-2.284968588751,90.053938466698,93.3903216737246,78.7317721377204,-0.508202185559277,4.7211364612231,0.243103029053813
