"","TB_USCH","TB_USJP","TB_USUK","M3_USCH","M3_USJP","M3_USUK","UN_USCH","UN_USJP","UN_USUK","M1_USCH","M1_USJP","M1_USUK","CPI_USCH","CPI_USJP","CPI_USUK","T_USCH","T_USJP","T_USUK","EX_UKUS","EX_JPUS","EX_CHUS"
"1992-02-01",7.15806910569106,3.80549696199419,-13.475772,2.81360226610187,-0.429685476098108,1.60022431418694,6.34083315885664,6.14159743785664,-0.75840256214336,-18.2808102684951,-20.9544023956566,-19.6827473110145,-25.695653738398,-36.3231818814684,-2.3231818814684,0.137307235907264,0.518034278581672,-0.0249371720419322,-0.575376644825438,4.84967514906247,0.375761628734722
"1992-03-01",8.46197552447553,4.00683794624074,-13.559998,2.84950872877926,-0.392710125472473,1.62132045497072,5.85374328233527,5.54675664933527,-1.15324335066473,-18.2242672706329,-20.9538795862189,-19.6696122213366,-25.6461977704957,-36.5278444162233,-2.3278444162233,0.22398919393402,0.60863508949329,0.0810830004101711,-0.544531156231162,4.88931626417421,0.411712220868631
"1992-04-01",8.42429577464789,3.72269721692832,-13.043096,2.84369962748211,-0.387381359824722,1.60273898326371,5.09769244586062,5.08773164286062,-1.91226835713938,-18.1940794608584,-20.9161254071305,-19.6611364187902,-25.6964839596782,-37.4434622832961,-2.9434622832961,0.386575719916572,0.546083569229392,0.223954563566922,-0.56338012250088,4.89439731422622,0.418315520086984
"1992-05-01",9.03273178807947,3.60211920074022,-13.433585,2.81587547527753,-0.421897262068736,1.56702277857275,5.16200249281582,5.22946355281582,-1.67053644718418,-18.2179289284647,-20.9371220948586,-19.7040959593117,-25.8349257220795,-37.459080150369,-3.259080150369,0.371231475051038,0.560925143819833,0.243333217135304,-0.59305056402166,4.87344770190301,0.399245808294247
"1992-06-01",8.8327027027027,3.6312541047262,-13.889246,2.77553862438989,-0.444389912963921,1.53488946708198,5.72101253205821,5.95979337505821,-0.940206624941791,-18.2639884193332,-20.9450443262979,-19.7306565531109,-25.9607902743592,-37.148124818051,-3.048124818051,0.470893182165315,0.66777690357326,0.299490309598186,-0.61793860296219,4.84289097127353,0.354171813720614
"1992-07-01",8.23427536231884,3.18103629836585,-15.219097,2.71951248988732,-0.46262526735272,1.50131923392007,5.32143883757681,5.71078366757681,-1.48921633242319,-18.2741556987113,-20.9550046960599,-19.736203091801,-25.5780987974211,-36.2215516186603,-2.7215516186603,0.688011613063261,0.810427568834893,0.529763982832097,-0.651126551297333,4.83534257703034,0.288706547497969
"1992-08-01",7.45468253968254,3.10511704731801,-15.701546,2.69545722727986,-0.452490412849265,1.49372519662462,4.88259211634282,5.30154401634282,-2.09845598365718,-18.2932792447661,-20.923370006213,-19.7260074628979,-25.6312639509549,-36.3527873528059,-2.6527873528059,0.707869971742132,0.732583002067763,0.444307984219517,-0.664439016423202,4.83811356178045,0.259745453758758
"1992-09-01",6.53623714408437,2.88437940825487,-12.286695,2.67430057743876,-0.490216211986983,1.53389626503662,4.55687101912834,5.07545204512834,-2.22454795487166,-18.34134198991,-20.9431585154642,-19.7000706460355,-25.56278037662,-36.6840230869516,-2.6840230869516,0.680025991056357,0.930112352826142,0.596950102115934,-0.613291955310481,4.80890010633724,0.245296355955343
"1992-10-01",5.86362745098039,2.83407671509641,-8.313604,2.70567521143117,-0.503507976224434,1.63575158086974,3.97074671868595,4.78238540068595,-2.51761459931405,-18.2993620483065,-20.9149706333526,-19.5780082578961,-25.4754614964824,-36.5730677546336,-2.6730677546336,0.705449569167963,0.871661803776739,0.594417435648622,-0.502531320941171,4.797154903693,0.275811899881294
"1992-11-01",6.16905114430124,3.10464481756539,-6.733128,2.77569307017332,-0.475266401178473,1.71561190292929,3.88173640133837,4.89729179033837,-2.40270820966163,-18.2294141173606,-20.8784324303639,-19.494701127804,-26.2117113455922,-36.2886856217065,-2.5886856217065,0.641183057305479,0.686251807067357,0.50610625384906,-0.423174041888938,4.819313355105,0.357044875505612
